0,1,2
10000,2.55,0.29
20000,15.94,0.62
30000,31.56,0.87
40000,40.14,1.18
50000,47.46,1.78
60000,50.77,2.29
70000,53.38,1.38
80000,55.3,1.11
90000,55.86,0.22
100000,56.93,0.86
110000,57.32,1.02
120000,57.66,0.89
130000,57.92,0.89
140000,58.38,0.34
150000,58.94,0.31
160000,59.46,1.57
170000,59.59,0.34
180000,60.49,0.23
190000,60.86,0.9
200000,60.55,0.64
