0,1,2
20000,0.0289,0.0013
40000,0.1644,0.0004
60000,0.3354,0.0119
80000,0.4363,0.011
100000,0.4948,0.0227
120000,0.5254,0.0279
140000,0.5341,0.0293
160000,0.5459,0.0296
180000,0.5525,0.0271
200000,0.5625,0.0321
