0,1,2
20000,0.2801,0.0479
40000,0.4097,0.0211
60000,0.3892,0.0112
80000,0.3725,0.0181
100000,0.3606,0.0221
120000,0.3401,0.0362
140000,0.3218,0.0362
160000,0.3135,0.0291
180000,0.2974,0.0338
200000,0.2927,0.0324
