0,1,2
20000,0.0924,0.0045
40000,0.3585,0.0103
60000,0.4911,0.0202
80000,0.5434,0.0124
100000,0.564,0.0051
120000,0.5749,0.0095
140000,0.5815,0.0061
160000,0.592,0.0092
180000,0.6004,0.0013
200000,0.6071,0.0062
