0,1,2
20000,0.2503,0.0175
40000,0.4695,0.0468
60000,0.4876,0.0604
80000,0.4973,0.0665
100000,0.4898,0.0613
120000,0.4858,0.0533
140000,0.4723,0.0497
160000,0.4623,0.0457
180000,0.449,0.0533
200000,0.4399,0.0624
