0,1,2
10000,11.71,0.85
20000,38.35,2.69
30000,46.3,4.24
40000,47.6,5.15
50000,48.57,5.97
60000,48.95,6.1
70000,49.79,6.88
80000,49.66,6.43
90000,49.15,6.23
100000,48.81,6.09
110000,49.31,5.88
120000,47.85,4.8
130000,47.28,4.92
140000,47.18,5.14
150000,46.34,4.28
160000,46.13,4.9
170000,45.11,5.32
180000,44.68,5.35
190000,43.62,5.93
200000,44.35,6.6
